country,fluregion,whoregion,year,tot_cases,B%,AH1%,AH3%,p,q,u,v
Bangladesh,Southern Asia,South-East Asia Region of WHO,2018,1017,0.351032448377581,0.537856440511308,0.111111111111111,0.29542272816490434,1.1151505159258153,0.62125,0.795
Bangladesh,Southern Asia,South-East Asia Region of WHO,2019,1531,0.372958850424559,0.219464402351404,0.407576747224037,0.18024851595325522,-0.43772682208439484,0.57125,0.38125
Belarus,Eastern Europe,European Region of WHO,2010,1229,0.213109051288395,0.786551345785795,0.0003396029258098,2.096733919844365,5.478406104653642,0.9675,0.99875
Belarus,Eastern Europe,European Region of WHO,2011,71,0.028169014084507,0.0563380281690141,0.915492957746479,-1.7041864666690074,-1.9714794023734568,0.11875000000000001,0.14625
Belarus,Eastern Europe,European Region of WHO,2012,463,0.136069114470842,0.639308855291577,0.224622030237581,-0.8362888257514532,0.7396114582775744,0.2225,0.7112499999999999
Belarus,Eastern Europe,European Region of WHO,2013,106,0.254716981132075,0.547169811320755,0.19811320754717,-0.20955046567289268,0.7183643261900624,0.4075,0.70875
Belarus,Eastern Europe,European Region of WHO,2014,561,0.349376114081996,0.0213903743315508,0.629233511586453,0.9001281259641111,-2.3911250019911634,0.8175,0.1225
Belarus,Eastern Europe,European Region of WHO,2015,1457,0.0301990391214825,0.968428277282086,0.001372683596431,-0.1538368820226471,4.637847455151563,0.43124999999999997,0.98625
Belarus,Eastern Europe,European Region of WHO,2016,957,0.225705329153605,0.0041797283176593,0.770114942528736,1.127448918778171,-3.6884765284787355,0.86375,0.05625
Belarus,Eastern Europe,European Region of WHO,2017,412,0.351941747572816,0.531553398058252,0.116504854368932,0.28299556924420255,1.0732966783047777,0.615,0.7825
Belarus,Eastern Europe,European Region of WHO,2018,740,0.0027027027027027,0.583783783783784,0.413513513513514,-4.248115902397428,0.24383904628454814,0.022500000000000003,0.5775
Belarus,Eastern Europe,European Region of WHO,2019,171,0.169590643274854,0.701754385964912,0.128654970760234,-0.46701258477924157,1.199570796490619,0.3175,0.8049999999999999
Belgium,South West Europe,European Region of WHO,2010,708,0.450564971751412,0.538135593220339,0.0112994350282486,1.432192683843249,2.731806522180446,0.92,0.9525
Belgium,South West Europe,European Region of WHO,2011,495,0.193939393939394,0.202020202020202,0.604040404040404,-0.48047450695011223,-0.7744752394855356,0.31124999999999997,0.3175
Belgium,South West Europe,European Region of WHO,2012,839,0.548271752085816,0.34326579261025,0.108462455303933,0.8526808485184038,0.8146584110576874,0.80375,0.73
Belgium,South West Europe,European Region of WHO,2013,260,0.0153846153846154,0.384615384615385,0.6,-2.8097433317593037,-0.3144403597114765,0.05625,0.41625
Belgium,South West Europe,European Region of WHO,2014,517,0.125725338491296,0.131528046421663,0.742746615087041,-0.7435735231546869,-1.2240971897530986,0.24625,0.22375
Belgium,South West Europe,European Region of WHO,2015,351,0.512646357473944,0.487014039600246,0.0003396029258098,3.009140075409502,5.139443825119229,0.995,0.98875
Belgium,South West Europe,European Region of WHO,2016,318,0.0062893081761006,0.0031446540880503,0.990566037735849,-1.7825256425628713,-4.0676831221818,0.1125,0.04
Belgium,South West Europe,European Region of WHO,2017,357,0.658263305322129,0.26890756302521,0.0728291316526611,1.2642332175191775,0.9236594020880566,0.89,0.755
Belgium,South West Europe,European Region of WHO,2018,270,0.0037037037037037,0.237037037037037,0.759259259259259,-3.870966633126004,-0.8231620221667896,0.030000000000000002,0.30624999999999997
Belgium,South West Europe,European Region of WHO,2019,259,0.0772200772200772,0.532818532818533,0.38996138996139,-1.4496527962006656,0.22071147994944698,0.1525,0.56875
Bolivia (Plurinational State of),Tropical South America,Region of the Americas of WHO,2010,474,0.0001645569620253,0.807883912834482,0.191951530203493,-6.3526121328421326,1.01623652954662,0.008749999999999999,0.7737499999999999
Bolivia (Plurinational State of),Tropical South America,Region of the Americas of WHO,2011,2084,0.214971209213052,0.629078694817658,0.15595009596929,-0.3073228632540147,0.9862161830024992,0.38125,0.765
Bolivia (Plurinational State of),Tropical South America,Region of the Americas of WHO,2012,1377,0.196078431372549,0.665214233841685,0.138707334785766,-0.3573992817497183,1.1085616616466183,0.3675,0.7925
Bolivia (Plurinational State of),Tropical South America,Region of the Americas of WHO,2013,1058,0.300567107750473,0.531190926275992,0.168241965973535,0.004416170921495671,0.8129736061025615,0.5,0.72875
Bolivia (Plurinational State of),Tropical South America,Region of the Americas of WHO,2014,926,0.0669546436285097,0.430885529157667,0.502159827213823,-1.5826684164768898,-0.10824106964483336,0.13375,0.47125
Bolivia (Plurinational State of),Tropical South America,Region of the Americas of WHO,2015,346,0.263005780346821,0.398843930635838,0.338150289017341,-0.27259089730361147,0.11672901091574825,0.39375,0.53
